YEAR,STATE,ZIPCODE,N1,MARS2,A00100,N04470,A04470,N18425,A18425,N04800,A04800,N07100,A07100
2011,VA,24435,870,442,40890,284,5778,249,969,667,25134,261,280
2011,VA,24437,383,195,20264,151,3078,138,652,308,12711,135,141
2011,VA,24439,483,207,15646,87,1360,77,194,343,8246,127,119
2011,VA,24440,1185,559,48881,313,5423,284,933,917,28617,365,406
2011,VA,24441,2703,1247,116132,750,12756,702,2415,2144,69499,948,980
2011,VA,24445,1265,567,54907,205,5083,187,951,964,33718,372,363
2011,VA,24450,6576,2855,380374,2309,55176,1981,10687,5177,254703,2109,2433
2011,VA,24458,163,84,6926,34,532,21,51,123,4093,37,20
2011,VA,24459,361,201,17878,122,3105,107,442,274,10350,104,109
2011,VA,24460,696,333,31634,154,3416,129,592,517,19581,194,177
2011,VA,24465,609,285,25527,126,2939,110,548,436,15645,150,143
2011,VA,24467,1020,556,58357,374,7915,348,1730,848,38451,346,382
2011,VA,24471,678,322,36935,256,5822,227,1107,539,23590,209,216
2011,VA,24472,986,454,44599,285,5940,248,937,727,27321,281,301
2011,VA,24473,415,219,23189,132,3780,111,614,309,14832,111,97
2011,VA,24476,197,96,9058,72,1267,65,204,161,5492,67,61
2011,VA,24477,4947,2360,234888,1646,29226,1484,5379,3959,147024,1637,1881
2011,VA,24479,744,375,34934,231,4172,219,731,597,21211,263,298
2011,VA,24482,2223,943,101517,631,11058,577,2176,1758,64091,693,710
2011,VA,24483,292,142,12016,79,1632,71,251,208,6680,85,63
2011,VA,24484,400,169,18422,89,2157,74,335,306,11252,115,88
2011,VA,24485,189,86,7910,55,990,47,144,152,4578,53,46
2011,VA,24486,1597,792,79488,590,12675,538,2122,1295,48338,623,777
2011,VA,24487,116,57,5485,28,582,25,91,87,3245,35,15
2011,VA,24501,10816,2801,327436,1741,27218,1559,4786,7209,175303,2952,2672
2011,VA,24502,17250,6699,745085,5049,89332,4436,16718,13422,460512,5612,5988
2011,VA,24503,8932,4177,749660,4251,122421,3681,28750,7175,539260,3303,3550
2011,VA,24504,3760,1084,132063,704,13380,632,2507,2501,76118,1001,886
2011,VA,24517,2364,948,102213,544,10693,487,2029,1749,62640,723,773
2011,VA,24520,957,412,36157,192,3279,175,642,679,20485,311,328
2011,VA,24521,4319,1971,195126,1256,23558,1115,4400,3242,119542,1360,1441
2011,VA,24522,4241,1914,189391,1129,22218,1016,4318,3116,115966,1310,1393
2011,VA,24523,8391,3754,359473,2247,42012,1966,7726,6280,217651,2511,2669
2011,VA,24526,665,318,31533,164,3170,148,690,533,19939,199,236
2011,VA,24527,1386,551,52738,307,5358,281,974,1013,29851,438,446
2011,VA,24528,1361,565,52701,245,4918,213,942,938,30586,348,355
2011,VA,24529,696,297,31349,172,3737,152,726,478,19225,178,145
2011,VA,24530,450,202,17136,85,1451,76,258,336,9724,128,135
2011,VA,24531,3600,1429,153132,765,14863,660,3223,2654,92746,1092,1070
2011,VA,24534,697,282,24091,125,2057,106,326,510,13085,222,206
2011,VA,24536,100,45,4517,24,301,20,58,78,2562,26,21
2011,VA,24538,1977,956,88780,587,10130,546,2021,1535,53598,689,782
2011,VA,24540,13665,4532,509189,2944,54767,2591,10673,9469,290633,3993,3705
2011,VA,24541,11843,3878,534975,2716,62611,2371,12796,8213,336229,3375,3180
2011,VA,24549,1746,819,72299,445,7685,413,1410,1348,42012,616,691
2011,VA,24550,3142,1380,142600,852,15950,779,3467,2459,88330,1064,1141
2011,VA,24551,10021,5385,726771,4715,114190,4350,27135,8251,501866,3807,5014
2011,VA,24553,767,332,28796,184,3121,159,518,560,16213,222,223
2011,VA,24554,1576,721,62611,310,5334,277,1052,1154,36381,477,497
2011,VA,24555,933,385,36174,191,3769,170,674,678,21147,263,224
2011,VA,24556,1425,809,92782,589,13244,529,2768,1149,62819,519,619
2011,VA,24557,3146,1372,119875,583,10401,521,1827,2298,68939,929,889
2011,VA,24558,2810,1119,122109,659,12915,588,2648,2091,74229,901,860
2011,VA,24562,225,77,9010,72,1079,63,159,168,5242,74,71
2011,VA,24563,2295,967,89278,448,7447,403,1450,1719,52278,673,638
2011,VA,24565,467,138,14880,80,1358,68,204,317,7678,133,114
2011,VA,24566,595,283,22278,124,1984,110,308,437,12225,202,215
2011,VA,24569,418,193,15681,85,1548,78,235,313,8795,130,132
2011,VA,24571,849,381,37816,202,3663,189,760,632,23498,260,311
2011,VA,24572,7479,2986,302157,1970,33290,1802,6075,5745,179015,2393,2485
2011,VA,24574,1778,802,87917,524,10504,467,2215,1356,56762,541,560
2011,VA,24577,2023,802,71144,369,6003,320,996,1434,39271,603,564
2011,VA,24578,468,206,20593,136,3071,109,355,354,12175,152,131
2011,VA,24579,627,243,22246,106,1991,95,273,477,12336,193,181
2011,VA,24580,244,115,8524,47,781,40,123,169,4667,74,82
2011,VA,24586,2385,1042,97214,535,9321,494,1911,1812,57213,782,864
2011,VA,24588,4215,1920,182443,1079,20105,978,3957,3182,109058,1372,1519
2011,VA,24589,885,357,30712,166,2758,148,496,634,16772,268,265
2011,VA,24590,3374,1484,160783,1122,22094,996,4097,2606,99857,1044,1158
2011,VA,24592,5626,2006,224978,1177,22618,1044,4459,4025,132761,1805,1709
2011,VA,24593,824,377,35573,220,4121,203,829,598,21311,266,313
2011,VA,24594,729,307,28056,168,2988,149,530,540,15820,230,238
2011,VA,24597,491,224,18800,118,2118,98,341,362,10426,155,147
2011,VA,24598,711,350,29940,172,3058,156,561,551,17606,252,260
2011,VA,24599,257,99,8729,57,845,49,124,187,4706,75,65
2011,VA,24602,281,138,8980,0.0001,0.0001,0.0001,0.0001,184,4798,70,64
2011,VA,24603,406,187,16306,32,529,30,184,288,10280,105,113
2011,VA,24605,3726,1756,206639,768,18234,698,5572,2840,140490,1079,1143
2011,VA,24609,2631,1395,123595,437,8582,408,2255,1986,78897,866,917
2011,VA,24613,382,199,15099,42,620,39,117,294,8899,116,119
2011,VA,24614,2572,1338,132585,340,8592,324,2992,1907,87708,805,916
2011,VA,24620,851,442,38037,56,1135,50,345,582,24511,260,284
2011,VA,24622,333,183,13122,26,417,25,81,253,7801,105,99
2011,VA,24628,246,120,9681,21,235,20,75,168,6042,68,66
2011,VA,24630,2751,1338,116430,394,7530,362,1942,2032,71441,874,865
2011,VA,24631,490,232,20229,54,873,48,172,370,12573,139,148
2011,VA,24634,227,130,9613,20,205,0.0001,0.0001,193,5703,75,93
2011,VA,24637,1521,870,87091,357,7133,334,2055,1216,59101,523,591
2011,VA,24639,1117,576,40531,95,1549,87,343,752,23310,295,321
2011,VA,24641,2234,1030,105204,381,8296,344,2139,1634,68578,656,681
2011,VA,24646,251,148,9740,20,195,0.0001,0.0001,190,5703,78,75
2011,VA,24649,783,435,31346,66,1102,65,284,575,18721,241,261
2011,VA,24651,2349,1153,140143,486,12586,437,4168,1809,97361,706,726
2011,VA,24656,1341,676,64753,127,2596,123,883,995,43245,397,400
2011,VA,24657,116,72,5018,0.0001,0.0001,0.0001,0.0001,88,3175,30,25
2011,VA,99999,52341,17360,3306718,17582,462698,14894,92109,41622,2250611,15865,16300
